ticker,name,index
SJM,SJM,SP500_NASDAQ
SLB,SLB,SP500_NASDAQ
SMCI,SMCI,SP500_NASDAQ
SNA,SNA,SP500_NASDAQ
SNDK,SNDK,SP500_NASDAQ
SNPS,SNPS,SP500_NASDAQ
SO,SO,SP500_NASDAQ
SOLV,SOLV,SP500_NASDAQ
SPG,SPG,SP500_NASDAQ
SPGI,SPGI,SP500_NASDAQ
SRE,SRE,SP500_NASDAQ
STE,STE,SP500_NASDAQ
STLD,STLD,SP500_NASDAQ
STT,STT,SP500_NASDAQ
STX,STX,SP500_NASDAQ
STZ,STZ,SP500_NASDAQ
SW,SW,SP500_NASDAQ
SWK,SWK,SP500_NASDAQ
SWKS,SWKS,SP500_NASDAQ
SYF,SYF,SP500_NASDAQ
SYK,SYK,SP500_NASDAQ
SYY,SYY,SP500_NASDAQ
T,T,SP500_NASDAQ
TAP,TAP,SP500_NASDAQ
TDG,TDG,SP500_NASDAQ
TDY,TDY,SP500_NASDAQ
TEAM,TEAM,SP500_NASDAQ
TECH,TECH,SP500_NASDAQ
TEL,TEL,SP500_NASDAQ
TER,TER,SP500_NASDAQ
TFC,TFC,SP500_NASDAQ
TGT,TGT,SP500_NASDAQ
TJX,TJX,SP500_NASDAQ
TKO,TKO,SP500_NASDAQ
TMO,TMO,SP500_NASDAQ
TMUS,TMUS,SP500_NASDAQ
TPL,TPL,SP500_NASDAQ
TPR,TPR,SP500_NASDAQ
TRGP,TRGP,SP500_NASDAQ
TRI,TRI,SP500_NASDAQ
TRMB,TRMB,SP500_NASDAQ
TROW,TROW,SP500_NASDAQ
TRV,TRV,SP500_NASDAQ
TSCO,TSCO,SP500_NASDAQ
TSLA,TSLA,SP500_NASDAQ
TSN,TSN,SP500_NASDAQ
TT,TT,SP500_NASDAQ
TTD,TTD,SP500_NASDAQ
TTWO,TTWO,SP500_NASDAQ
TXN,TXN,SP500_NASDAQ
TXT,TXT,SP500_NASDAQ
TYL,TYL,SP500_NASDAQ
UAL,UAL,SP500_NASDAQ
UBER,UBER,SP500_NASDAQ
UDR,UDR,SP500_NASDAQ
UHS,UHS,SP500_NASDAQ
ULTA,ULTA,SP500_NASDAQ
UNH,UNH,SP500_NASDAQ
UNP,UNP,SP500_NASDAQ
UPS,UPS,SP500_NASDAQ
URI,URI,SP500_NASDAQ
USB,USB,SP500_NASDAQ
V,V,SP500_NASDAQ
VICI,VICI,SP500_NASDAQ
VLO,VLO,SP500_NASDAQ
VLTO,VLTO,SP500_NASDAQ
VMC,VMC,SP500_NASDAQ
VRSK,VRSK,SP500_NASDAQ
VRSN,VRSN,SP500_NASDAQ
VRTX,VRTX,SP500_NASDAQ
VST,VST,SP500_NASDAQ
VTR,VTR,SP500_NASDAQ
VTRS,VTRS,SP500_NASDAQ
VZ,VZ,SP500_NASDAQ
WAB,WAB,SP500_NASDAQ
WAT,WAT,SP500_NASDAQ
WBD,WBD,SP500_NASDAQ
WDAY,WDAY,SP500_NASDAQ
WDC,WDC,SP500_NASDAQ
WEC,WEC,SP500_NASDAQ
WELL,WELL,SP500_NASDAQ
WFC,WFC,SP500_NASDAQ
WM,WM,SP500_NASDAQ
WMB,WMB,SP500_NASDAQ
WMT,WMT,SP500_NASDAQ
WRB,WRB,SP500_NASDAQ
WSM,WSM,SP500_NASDAQ
WST,WST,SP500_NASDAQ
WTW,WTW,SP500_NASDAQ
WY,WY,SP500_NASDAQ
WYNN,WYNN,SP500_NASDAQ
XEL,XEL,SP500_NASDAQ
XOM,XOM,SP500_NASDAQ
XYL,XYL,SP500_NASDAQ
XYZ,XYZ,SP500_NASDAQ
YUM,YUM,SP500_NASDAQ
ZBH,ZBH,SP500_NASDAQ
ZBRA,ZBRA,SP500_NASDAQ
ZS,ZS,SP500_NASDAQ
ZTS,ZTS,SP500_NASDAQ
